column_name,measure,value_2020_2,value_2021_1,values_equal
NUTS2013Level2Code,minimum_value,NULL,NULL,TRUE
NUTS2013Level2Code,maximum_value,NULL,NULL,TRUE
NUTS2013Level3Code,data_type,char(5),char(5),TRUE
NUTS2013Level3Code,null_count,224174,224827,FALSE
NUTS2013Level3Code,distinct_values,0,0,TRUE
NUTS2013Level3Code,minimum_value,NULL,NULL,TRUE
NUTS2013Level3Code,maximum_value,NULL,NULL,TRUE
NUTS2018Level2Code,data_type,char(4),char(4),TRUE
NUTS2018Level2Code,null_count,0,0,TRUE
NUTS2018Level2Code,distinct_values,5,5,TRUE
NUTS2018Level2Code,minimum_value,UKM5,UKM5,TRUE
NUTS2018Level2Code,maximum_value,UKM9,UKM9,TRUE
NUTS2018Level3Code,data_type,char(5),char(5),TRUE
NUTS2018Level3Code,null_count,0,0,TRUE
NUTS2018Level3Code,distinct_values,23,23,TRUE
NUTS2018Level3Code,minimum_value,UKM50,UKM50,TRUE
NUTS2018Level3Code,maximum_value,UKM95,UKM95,TRUE
OutputArea1991Code,data_type,char(9),char(9),TRUE
OutputArea1991Code,null_count,0,0,TRUE
OutputArea1991Code,distinct_values,35843,35843,TRUE
OutputArea1991Code,minimum_value,5601AB02,5601AB02,TRUE
OutputArea1991Code,maximum_value,6756AK12,6756AK12,TRUE
OutputArea2001Code,data_type,char(9),char(9),TRUE
OutputArea2001Code,null_count,0,0,TRUE
OutputArea2001Code,distinct_values,41466,41465,FALSE
OutputArea2001Code,minimum_value,S00000002,S00000002,TRUE
OutputArea2001Code,maximum_value,S00042604,S00042604,TRUE
OutputArea2011Code,data_type,char(9),char(9),TRUE
OutputArea2011Code,null_count,0,0,TRUE
OutputArea2011Code,distinct_values,46330,46329,FALSE
OutputArea2011Code,minimum_value,S00088956,S00088956,TRUE
OutputArea2011Code,maximum_value,S00135306,S00135306,TRUE
Postcod1,data_type,char(4),char(4),TRUE
Postcod1,null_count,224174,224827,FALSE
Postcod1,distinct_values,0,0,TRUE
Postcod1,minimum_value,NULL,NULL,TRUE
Postcod1,maximum_value,NULL,NULL,TRUE
Postcod2,data_type,char(4),char(4),TRUE
Postcod2,null_count,224174,224827,FALSE
Postcod2,distinct_values,0,0,TRUE
Postcod2,minimum_value,NULL,NULL,TRUE
Postcod2,maximum_value,NULL,NULL,TRUE
Postcode,data_type,char(9),char(9),TRUE
Postcode,null_count,0,0,TRUE
Postcode,distinct_values,224174,224827,FALSE
Postcode,minimum_value,AB1 0AA,AB1 0AA,TRUE
Postcode,maximum_value,ZE3 9XP,ZE3 9XP,TRUE
PostcodeCompressed,data_type,char(8),char(8),TRUE
PostcodeCompressed,null_count,0,0,TRUE
PostcodeCompressed,distinct_values,224174,224827,FALSE
PostcodeCompressed,minimum_value,AB101AA,AB101AA,TRUE
PostcodeCompressed,maximum_value,ZE39XP,ZE39XP,TRUE
PostcodeDistrict,data_type,char(4),char(4),TRUE
PostcodeDistrict,null_count,0,0,TRUE
PostcodeDistrict,distinct_values,478,478,TRUE
PostcodeDistrict,minimum_value,AB1,AB1,TRUE
PostcodeDistrict,maximum_value,ZE3,ZE3,TRUE
PostcodeSector,data_type,char(6),char(6),TRUE
PostcodeSector,null_count,0,0,TRUE
PostcodeSector,distinct_values,1281,1281,TRUE
PostcodeSector,minimum_value,AB1 0,AB1 0,TRUE
PostcodeSector,maximum_value,ZE3 9,ZE3 9,TRUE
PostcodeType,data_type,char(1),char(1),TRUE
PostcodeType,null_count,0,0,TRUE
PostcodeType,distinct_values,2,2,TRUE
PostcodeType,minimum_value,L,L,TRUE
PostcodeType,maximum_value,S,S,TRUE
PostcodeUnit,data_type,char(9),char(9),TRUE
PostcodeUnit,null_count,0,0,TRUE
PostcodeUnit,distinct_values,224174,224827,FALSE
PostcodeUnit,minimum_value,AB1 0AA,AB1 0AA,TRUE
PostcodeUnit,maximum_value,ZE3 9XP,ZE3 9XP,TRUE
REDDW,data_type,int,int,TRUE
REDDW,null_count,224174,224827,FALSE
REDDW,distinct_values,0,0,TRUE
REDDW,minimum_value,NULL,NULL,TRUE
REDDW,maximum_value,NULL,NULL,TRUE
RegistrationDistrict2007Code,data_type,char(9),char(9),TRUE
RegistrationDistrict2007Code,null_count,0,0,TRUE
RegistrationDistrict2007Code,distinct_values,32,32,TRUE
RegistrationDistrict2007Code,minimum_value,S12000005,S12000005,TRUE
RegistrationDistrict2007Code,maximum_value,S12000050,S12000050,TRUE
RegOutcomeAreaCPP,data_type,char(9),char(9),TRUE
RegOutcomeAreaCPP,null_count,224174,224827,FALSE
RegOutcomeAreaCPP,distinct_values,0,0,TRUE
RegOutcomeAreaCPP,minimum_value,NULL,NULL,TRUE
RegOutcomeAreaCPP,maximum_value,NULL,NULL,TRUE
RegOutcomeAreaLOC,data_type,char(9),char(9),TRUE
RegOutcomeAreaLOC,null_count,224174,224827,FALSE
RegOutcomeAreaLOC,distinct_values,0,0,TRUE
RegOutcomeAreaLOC,minimum_value,NULL,NULL,TRUE
RegOutcomeAreaLOC,maximum_value,NULL,NULL,TRUE
RowComments,data_type,varchar(100),varchar(100),TRUE
RowComments,null_count,0,0,TRUE
RowComments,distinct_values,1,1,TRUE
RowComments,minimum_value,The data is based on the July 2020 release of Royal Mail's Postal Address File (PAF).,The data is based on the January 2021 release of Royal Mail's Postal Address File (PAF).,FALSE
RowComments,maximum_value,The data is based on the July 2020 release of Royal Mail's Postal Address File (PAF).,The data is based on the January 2021 release of Royal Mail's Postal Address File (PAF).,FALSE
RowIsCurrent,data_type,char(1),char(1),TRUE
RowIsCurrent,null_count,0,0,TRUE
RowIsCurrent,distinct_values,1,1,TRUE
RowIsCurrent,minimum_value,N,Y,FALSE
RowIsCurrent,maximum_value,N,Y,FALSE
RowValidFrom,data_type,datetime2(3),datetime2(3),TRUE
RowValidFrom,null_count,0,0,TRUE
RowValidFrom,distinct_values,1,1,TRUE
RowValidFrom,minimum_value,44013,44197,FALSE
RowValidFrom,maximum_value,44013,44197,FALSE
RowValidTo,data_type,datetime2(3),datetime2(3),TRUE
RowValidTo,null_count,0,0,TRUE
RowValidTo,distinct_values,1,1,TRUE
RowValidTo,minimum_value,44196.999999988424,2958465,FALSE
RowValidTo,maximum_value,44196.999999988424,2958465,FALSE
ScottishIndexofMultiDeprivat2012,data_type,char(4),char(4),TRUE
ScottishIndexofMultiDeprivat2012,null_count,224174,224827,FALSE
ScottishIndexofMultiDeprivat2012,distinct_values,0,0,TRUE
ScottishIndexofMultiDeprivat2012,minimum_value,NULL,NULL,TRUE
ScottishIndexofMultiDeprivat2012,maximum_value,NULL,NULL,TRUE
ScottishIndexofMultiDeprivat2016,data_type,char(4),char(4),TRUE
ScottishIndexofMultiDeprivat2016,null_count,224174,224827,FALSE
ScottishIndexofMultiDeprivat2016,distinct_values,0,0,TRUE
ScottishIndexofMultiDeprivat2016,minimum_value,NULL,NULL,TRUE
ScottishIndexofMultiDeprivat2016,maximum_value,NULL,NULL,TRUE
ScottishIndexofMultiDeprivat2020,data_type,char(4),char(4),TRUE
ScottishIndexofMultiDeprivat2020,null_count,0,0,TRUE
ScottishIndexofMultiDeprivat2020,distinct_values,6976,6976,TRUE
ScottishIndexofMultiDeprivat2020,minimum_value,1,1,TRUE
ScottishIndexofMultiDeprivat2020,maximum_value,6976,6976,TRUE
ScottishParlCon,data_type,char(2),char(2),TRUE
ScottishParlCon,null_count,224174,224827,FALSE
ScottishParlCon,distinct_values,0,0,TRUE
ScottishParlCon,minimum_value,NULL,NULL,TRUE
ScottishParlCon,maximum_value,NULL,NULL,TRUE
ScottishParlCon0507,data_type,char(9),char(9),TRUE
ScottishParlCon0507,null_count,224174,224827,FALSE
ScottishParlCon0507,distinct_values,0,0,TRUE
ScottishParlCon0507,minimum_value,NULL,NULL,TRUE
ScottishParlCon0507,maximum_value,NULL,NULL,TRUE
ScottishParlCon0511,data_type,char(9),char(9),TRUE
ScottishParlCon0511,null_count,224174,224827,FALSE
